Epoch,Training Loss,Validation Loss
0,0.5240466978339670,0.5850817064964330
1,0.5230969287282330,0.5714530337855450
2,0.5231357773613690,0.5625017728827730
3,0.5235901486713280,0.5607684499965010
4,0.5252441878705440,0.560453105624711
5,0.5165722208520670,0.5224798389858390
6,0.5051832733435700,0.5074165117574200
7,0.5024839939454890,0.5058813845438620
8,0.5022433970448390,0.5058384605657920
9,0.5022499652285940,0.5058403181918770
10,0.5022772772887660,0.5058391277459970
11,0.5022713749416990,0.5058391048438050
